symptome01,symptome02,symptome03,symptome04,symptome05,symptome06,symptome07,symptome08,symptome09,symptome10,symptome11,symptome12,symptome13,symptome14,maladie
fièvre,frissons,douleur musculaire,"Des éruptions cutanées sur le thorax, le dos et l’abdomen","Des nausées, vomissements et diarrhée",Une douleur thoracique et abdominale,Un ictère (jaunissement de la peau et du blanc de l’œil),Une perte de poids importante,Des hémorragies (internes ou externes),Un délire (agitation possible et incohérence du langage),"état de choc (peau moite et froide, pouls faible, nausées possibles).",céphalées,inconnu,inconnu,virus Marburg
fièvre,frissons,douleur musculaire,"Des éruptions cutanées sur le thorax, le dos et l’abdomen","Des nausées, vomissements et diarrhée",Une douleur thoracique et abdominale,Un ictère (jaunissement de la peau et du blanc de l’œil),Une perte de poids importante,Des hémorragies (internes ou externes),Un délire (agitation possible et incohérence du langage),"état de choc (peau moite et froide, pouls faible, nausées possibles).",céphalées,inconnu,inconnu,virus Marburg
fièvre,frissons,douleur musculaire,"Des éruptions cutanées sur le thorax, le dos et l’abdomen","Des nausées, vomissements et diarrhée",Une douleur thoracique et abdominale,Un ictère (jaunissement de la peau et du blanc de l’œil),Une perte de poids importante,Des hémorragies (internes ou externes),Un délire (agitation possible et incohérence du langage),"état de choc (peau moite et froide, pouls faible, nausées possibles).",céphalées,inconnu,inconnu,virus Marburg
fièvre,frissons,douleur musculaire,"Des éruptions cutanées sur le thorax, le dos et l’abdomen","Des nausées, vomissements et diarrhée",Une douleur thoracique et abdominale,Un ictère (jaunissement de la peau et du blanc de l’œil),Une perte de poids importante,Des hémorragies (internes ou externes),Un délire (agitation possible et incohérence du langage),"état de choc (peau moite et froide, pouls faible, nausées possibles).",céphalées,inconnu,inconnu,virus Marburg
fièvre,frissons,douleur musculaire,"Des éruptions cutanées sur le thorax, le dos et l’abdomen","Des nausées, vomissements et diarrhée",Une douleur thoracique et abdominale,Un ictère (jaunissement de la peau et du blanc de l’œil),Une perte de poids importante,Des hémorragies (internes ou externes),Un délire (agitation possible et incohérence du langage),"état de choc (peau moite et froide, pouls faible, nausées possibles).",céphalées,inconnu,inconnu,virus Marburg
fièvre,frissons,douleur musculaire,"Des éruptions cutanées sur le thorax, le dos et l’abdomen","Des nausées, vomissements et diarrhée",Une douleur thoracique et abdominale,Un ictère (jaunissement de la peau et du blanc de l’œil),Une perte de poids importante,Des hémorragies (internes ou externes),Un délire (agitation possible et incohérence du langage),"état de choc (peau moite et froide, pouls faible, nausées possibles).",céphalées,inconnu,inconnu,virus Marburg
fièvre,frissons,douleur musculaire,"Des éruptions cutanées sur le thorax, le dos et l’abdomen","Des nausées, vomissements et diarrhée",Une douleur thoracique et abdominale,Un ictère (jaunissement de la peau et du blanc de l’œil),Une perte de poids importante,Des hémorragies (internes ou externes),Un délire (agitation possible et incohérence du langage),"état de choc (peau moite et froide, pouls faible, nausées possibles).",céphalées,inconnu,inconnu,virus Marburg
fièvre,mal de tête,fatigue,douleurs musculaires et articulaires,douleur derrière les yeux,troubles digestifs,œdèmes des mains ,œdèmes des pieds,inconnu,inconnu,inconnu,inconnu,inconnu,inconnu,zika
fièvre,mal de tête,fatigue,douleurs musculaires et articulaires,douleur derrière les yeux,troubles digestifs,œdèmes des mains ,œdèmes des pieds,inconnu,inconnu,inconnu,inconnu,inconnu,inconnu,zika
fièvre,mal de tête,fatigue,douleurs musculaires et articulaires,douleur derrière les yeux,troubles digestifs,œdèmes des mains ,œdèmes des pieds,inconnu,inconnu,inconnu,inconnu,inconnu,inconnu,zika
fièvre,frissons,douleur musculaire,"Des éruptions cutanées sur le thorax, le dos et l’abdomen","Des nausées, vomissements et diarrhée",Une douleur thoracique et abdominale,Un ictère (jaunissement de la peau et du blanc de l’œil),Une perte de poids importante,Des hémorragies (internes ou externes),Un délire (agitation possible et incohérence du langage),"état de choc (peau moite et froide, pouls faible, nausées possibles).",céphalées,inconnu,inconnu,virus Marburg
fièvre,frissons,douleur musculaire,"Des éruptions cutanées sur le thorax, le dos et l’abdomen","Des nausées, vomissements et diarrhée",Une douleur thoracique et abdominale,Un ictère (jaunissement de la peau et du blanc de l’œil),Une perte de poids importante,Des hémorragies (internes ou externes),Un délire (agitation possible et incohérence du langage),"état de choc (peau moite et froide, pouls faible, nausées possibles).",céphalées,inconnu,inconnu,virus Marburg
fièvre,frissons,douleur musculaire,"Des éruptions cutanées sur le thorax, le dos et l’abdomen","Des nausées, vomissements et diarrhée",Une douleur thoracique et abdominale,Un ictère (jaunissement de la peau et du blanc de l’œil),Une perte de poids importante,Des hémorragies (internes ou externes),Un délire (agitation possible et incohérence du langage),"état de choc (peau moite et froide, pouls faible, nausées possibles).",céphalées,inconnu,inconnu,virus Marburg
fièvre,frissons,douleur musculaire,"Des éruptions cutanées sur le thorax, le dos et l’abdomen","Des nausées, vomissements et diarrhée",Une douleur thoracique et abdominale,Un ictère (jaunissement de la peau et du blanc de l’œil),Une perte de poids importante,Des hémorragies (internes ou externes),Un délire (agitation possible et incohérence du langage),"état de choc (peau moite et froide, pouls faible, nausées possibles).",céphalées,inconnu,inconnu,virus Marburg
fièvre,frissons,douleur musculaire,"Des éruptions cutanées sur le thorax, le dos et l’abdomen","Des nausées, vomissements et diarrhée",Une douleur thoracique et abdominale,Un ictère (jaunissement de la peau et du blanc de l’œil),Une perte de poids importante,Des hémorragies (internes ou externes),Un délire (agitation possible et incohérence du langage),"état de choc (peau moite et froide, pouls faible, nausées possibles).",céphalées,inconnu,inconnu,virus Marburg
fièvre,frissons,douleur musculaire,"Des éruptions cutanées sur le thorax, le dos et l’abdomen","Des nausées, vomissements et diarrhée",Une douleur thoracique et abdominale,Un ictère (jaunissement de la peau et du blanc de l’œil),Une perte de poids importante,Des hémorragies (internes ou externes),Un délire (agitation possible et incohérence du langage),"état de choc (peau moite et froide, pouls faible, nausées possibles).",céphalées,inconnu,inconnu,virus Marburg
fièvre,frissons,douleur musculaire,"Des éruptions cutanées sur le thorax, le dos et l’abdomen","Des nausées, vomissements et diarrhée",Une douleur thoracique et abdominale,Un ictère (jaunissement de la peau et du blanc de l’œil),Une perte de poids importante,Des hémorragies (internes ou externes),Un délire (agitation possible et incohérence du langage),"état de choc (peau moite et froide, pouls faible, nausées possibles).",céphalées,inconnu,inconnu,virus Marburg
fièvre,frissons,douleur musculaire,"Des éruptions cutanées sur le thorax, le dos et l’abdomen","Des nausées, vomissements et diarrhée",Une douleur thoracique et abdominale,Un ictère (jaunissement de la peau et du blanc de l’œil),Une perte de poids importante,Des hémorragies (internes ou externes),Un délire (agitation possible et incohérence du langage),"état de choc (peau moite et froide, pouls faible, nausées possibles).",céphalées,inconnu,inconnu,virus Marburg
fièvre,frissons,douleur musculaire,"Des éruptions cutanées sur le thorax, le dos et l’abdomen","Des nausées, vomissements et diarrhée",Une douleur thoracique et abdominale,Un ictère (jaunissement de la peau et du blanc de l’œil),Une perte de poids importante,Des hémorragies (internes ou externes),Un délire (agitation possible et incohérence du langage),"état de choc (peau moite et froide, pouls faible, nausées possibles).",céphalées,inconnu,inconnu,virus Marburg
fièvre,frissons,douleur musculaire,"Des éruptions cutanées sur le thorax, le dos et l’abdomen","Des nausées, vomissements et diarrhée",Une douleur thoracique et abdominale,Un ictère (jaunissement de la peau et du blanc de l’œil),Une perte de poids importante,Des hémorragies (internes ou externes),Un délire (agitation possible et incohérence du langage),"état de choc (peau moite et froide, pouls faible, nausées possibles).",céphalées,inconnu,inconnu,virus Marburg
fièvre,frissons,douleur musculaire,"Des éruptions cutanées sur le thorax, le dos et l’abdomen","Des nausées, vomissements et diarrhée",Une douleur thoracique et abdominale,Un ictère (jaunissement de la peau et du blanc de l’œil),Une perte de poids importante,Des hémorragies (internes ou externes),Un délire (agitation possible et incohérence du langage),"état de choc (peau moite et froide, pouls faible, nausées possibles).",céphalées,inconnu,inconnu,virus Marburg
fièvre,frissons,douleur musculaire,"Des éruptions cutanées sur le thorax, le dos et l’abdomen","Des nausées, vomissements et diarrhée",Une douleur thoracique et abdominale,Un ictère (jaunissement de la peau et du blanc de l’œil),Une perte de poids importante,Des hémorragies (internes ou externes),Un délire (agitation possible et incohérence du langage),"état de choc (peau moite et froide, pouls faible, nausées possibles).",céphalées,inconnu,inconnu,virus Marburg
fièvre,frissons,douleur musculaire,"Des éruptions cutanées sur le thorax, le dos et l’abdomen","Des nausées, vomissements et diarrhée",Une douleur thoracique et abdominale,Un ictère (jaunissement de la peau et du blanc de l’œil),Une perte de poids importante,Des hémorragies (internes ou externes),Un délire (agitation possible et incohérence du langage),"état de choc (peau moite et froide, pouls faible, nausées possibles).",céphalées,inconnu,inconnu,virus Marburg
fièvre,frissons,douleur musculaire,"Des éruptions cutanées sur le thorax, le dos et l’abdomen","Des nausées, vomissements et diarrhée",Une douleur thoracique et abdominale,Un ictère (jaunissement de la peau et du blanc de l’œil),Une perte de poids importante,Des hémorragies (internes ou externes),Un délire (agitation possible et incohérence du langage),"état de choc (peau moite et froide, pouls faible, nausées possibles).",céphalées,inconnu,inconnu,virus Marburg
lymphœdème (tuméfaction des tissus),éléphantiasis des membres (épaississement de la peau et des tissus),hydrocèle (tuméfaction scrotale),inflammation localisée de la peau,ganglions lymphatiques,vaisseaux lymphatiques,inconnu,inconnu,inconnu,inconnu,inconnu,inconnu,inconnu,inconnu,La filariose lymphatique
lymphœdème (tuméfaction des tissus),éléphantiasis des membres (épaississement de la peau et des tissus),hydrocèle (tuméfaction scrotale),inflammation localisée de la peau,ganglions lymphatiques,vaisseaux lymphatiques,inconnu,inconnu,inconnu,inconnu,inconnu,inconnu,inconnu,inconnu,La filariose lymphatique
lymphœdème (tuméfaction des tissus),éléphantiasis des membres (épaississement de la peau et des tissus),hydrocèle (tuméfaction scrotale),inflammation localisée de la peau,ganglions lymphatiques,vaisseaux lymphatiques,inconnu,inconnu,inconnu,inconnu,inconnu,inconnu,inconnu,inconnu,La filariose lymphatique
lymphœdème (tuméfaction des tissus),éléphantiasis des membres (épaississement de la peau et des tissus),hydrocèle (tuméfaction scrotale),inflammation localisée de la peau,ganglions lymphatiques,vaisseaux lymphatiques,inconnu,inconnu,inconnu,inconnu,inconnu,inconnu,inconnu,inconnu,La filariose lymphatique
lymphœdème (tuméfaction des tissus),éléphantiasis des membres (épaississement de la peau et des tissus),hydrocèle (tuméfaction scrotale),inflammation localisée de la peau,ganglions lymphatiques,vaisseaux lymphatiques,inconnu,inconnu,inconnu,inconnu,inconnu,inconnu,inconnu,inconnu,La filariose lymphatique
lymphœdème (tuméfaction des tissus),éléphantiasis des membres (épaississement de la peau et des tissus),hydrocèle (tuméfaction scrotale),inflammation localisée de la peau,ganglions lymphatiques,vaisseaux lymphatiques,inconnu,inconnu,inconnu,inconnu,inconnu,inconnu,inconnu,inconnu,La filariose lymphatique
lymphœdème (tuméfaction des tissus),éléphantiasis des membres (épaississement de la peau et des tissus),hydrocèle (tuméfaction scrotale),inflammation localisée de la peau,ganglions lymphatiques,vaisseaux lymphatiques,inconnu,inconnu,inconnu,inconnu,inconnu,inconnu,inconnu,inconnu,La filariose lymphatique
lymphœdème (tuméfaction des tissus),éléphantiasis des membres (épaississement de la peau et des tissus),hydrocèle (tuméfaction scrotale),inflammation localisée de la peau,ganglions lymphatiques,vaisseaux lymphatiques,inconnu,inconnu,inconnu,inconnu,inconnu,inconnu,inconnu,inconnu,La filariose lymphatique
lymphœdème (tuméfaction des tissus),éléphantiasis des membres (épaississement de la peau et des tissus),hydrocèle (tuméfaction scrotale),inflammation localisée de la peau,ganglions lymphatiques,vaisseaux lymphatiques,inconnu,inconnu,inconnu,inconnu,inconnu,inconnu,inconnu,inconnu,La filariose lymphatique
lymphœdème (tuméfaction des tissus),éléphantiasis des membres (épaississement de la peau et des tissus),hydrocèle (tuméfaction scrotale),inflammation localisée de la peau,ganglions lymphatiques,vaisseaux lymphatiques,inconnu,inconnu,inconnu,inconnu,inconnu,inconnu,inconnu,inconnu,La filariose lymphatique
lymphœdème (tuméfaction des tissus),éléphantiasis des membres (épaississement de la peau et des tissus),hydrocèle (tuméfaction scrotale),inflammation localisée de la peau,ganglions lymphatiques,vaisseaux lymphatiques,inconnu,inconnu,inconnu,inconnu,inconnu,inconnu,inconnu,inconnu,La filariose lymphatique
lymphœdème (tuméfaction des tissus),éléphantiasis des membres (épaississement de la peau et des tissus),hydrocèle (tuméfaction scrotale),inflammation localisée de la peau,ganglions lymphatiques,vaisseaux lymphatiques,inconnu,inconnu,inconnu,inconnu,inconnu,inconnu,inconnu,inconnu,La filariose lymphatique
lymphœdème (tuméfaction des tissus),éléphantiasis des membres (épaississement de la peau et des tissus),hydrocèle (tuméfaction scrotale),inflammation localisée de la peau,ganglions lymphatiques,vaisseaux lymphatiques,inconnu,inconnu,inconnu,inconnu,inconnu,inconnu,inconnu,inconnu,La filariose lymphatique
lymphœdème (tuméfaction des tissus),éléphantiasis des membres (épaississement de la peau et des tissus),hydrocèle (tuméfaction scrotale),inflammation localisée de la peau,ganglions lymphatiques,vaisseaux lymphatiques,inconnu,inconnu,inconnu,inconnu,inconnu,inconnu,inconnu,inconnu,La filariose lymphatique
lymphœdème (tuméfaction des tissus),éléphantiasis des membres (épaississement de la peau et des tissus),hydrocèle (tuméfaction scrotale),inflammation localisée de la peau,ganglions lymphatiques,vaisseaux lymphatiques,inconnu,inconnu,inconnu,inconnu,inconnu,inconnu,inconnu,inconnu,La filariose lymphatique
lymphœdème (tuméfaction des tissus),éléphantiasis des membres (épaississement de la peau et des tissus),hydrocèle (tuméfaction scrotale),inflammation localisée de la peau,ganglions lymphatiques,vaisseaux lymphatiques,inconnu,inconnu,inconnu,inconnu,inconnu,inconnu,inconnu,inconnu,La filariose lymphatique
lymphœdème (tuméfaction des tissus),éléphantiasis des membres (épaississement de la peau et des tissus),hydrocèle (tuméfaction scrotale),inflammation localisée de la peau,ganglions lymphatiques,vaisseaux lymphatiques,inconnu,inconnu,inconnu,inconnu,inconnu,inconnu,inconnu,inconnu,La filariose lymphatique
lymphœdème (tuméfaction des tissus),éléphantiasis des membres (épaississement de la peau et des tissus),hydrocèle (tuméfaction scrotale),inflammation localisée de la peau,ganglions lymphatiques,vaisseaux lymphatiques,inconnu,inconnu,inconnu,inconnu,inconnu,inconnu,inconnu,inconnu,La filariose lymphatique
lymphœdème (tuméfaction des tissus),éléphantiasis des membres (épaississement de la peau et des tissus),hydrocèle (tuméfaction scrotale),inflammation localisée de la peau,ganglions lymphatiques,vaisseaux lymphatiques,inconnu,inconnu,inconnu,inconnu,inconnu,inconnu,inconnu,inconnu,La filariose lymphatique
lymphœdème (tuméfaction des tissus),éléphantiasis des membres (épaississement de la peau et des tissus),hydrocèle (tuméfaction scrotale),inflammation localisée de la peau,ganglions lymphatiques,vaisseaux lymphatiques,inconnu,inconnu,inconnu,inconnu,inconnu,inconnu,inconnu,inconnu,La filariose lymphatique
lymphœdème (tuméfaction des tissus),éléphantiasis des membres (épaississement de la peau et des tissus),hydrocèle (tuméfaction scrotale),inflammation localisée de la peau,ganglions lymphatiques,vaisseaux lymphatiques,inconnu,inconnu,inconnu,inconnu,inconnu,inconnu,inconnu,inconnu,La filariose lymphatique
lymphœdème (tuméfaction des tissus),éléphantiasis des membres (épaississement de la peau et des tissus),hydrocèle (tuméfaction scrotale),inflammation localisée de la peau,ganglions lymphatiques,vaisseaux lymphatiques,inconnu,inconnu,inconnu,inconnu,inconnu,inconnu,inconnu,inconnu,La filariose lymphatique
lymphœdème (tuméfaction des tissus),éléphantiasis des membres (épaississement de la peau et des tissus),hydrocèle (tuméfaction scrotale),inflammation localisée de la peau,ganglions lymphatiques,vaisseaux lymphatiques,inconnu,inconnu,inconnu,inconnu,inconnu,inconnu,inconnu,inconnu,La filariose lymphatique
lymphœdème (tuméfaction des tissus),éléphantiasis des membres (épaississement de la peau et des tissus),hydrocèle (tuméfaction scrotale),inflammation localisée de la peau,ganglions lymphatiques,vaisseaux lymphatiques,inconnu,inconnu,inconnu,inconnu,inconnu,inconnu,inconnu,inconnu,La filariose lymphatique
lymphœdème (tuméfaction des tissus),éléphantiasis des membres (épaississement de la peau et des tissus),hydrocèle (tuméfaction scrotale),inflammation localisée de la peau,ganglions lymphatiques,vaisseaux lymphatiques,inconnu,inconnu,inconnu,inconnu,inconnu,inconnu,inconnu,inconnu,La filariose lymphatique
lymphœdème (tuméfaction des tissus),éléphantiasis des membres (épaississement de la peau et des tissus),hydrocèle (tuméfaction scrotale),inflammation localisée de la peau,ganglions lymphatiques,vaisseaux lymphatiques,inconnu,inconnu,inconnu,inconnu,inconnu,inconnu,inconnu,inconnu,La filariose lymphatique
lymphœdème (tuméfaction des tissus),éléphantiasis des membres (épaississement de la peau et des tissus),hydrocèle (tuméfaction scrotale),inflammation localisée de la peau,ganglions lymphatiques,vaisseaux lymphatiques,inconnu,inconnu,inconnu,inconnu,inconnu,inconnu,inconnu,inconnu,La filariose lymphatique
L’hématurie (sang dans les urines),inconnu,inconnu,inconnu,inconnu,inconnu,inconnu,inconnu,inconnu,inconnu,inconnu,inconnu,inconnu,inconnu,Schistosomiase urogénitale
L’hématurie (sang dans les urines),inconnu,inconnu,inconnu,inconnu,inconnu,inconnu,inconnu,inconnu,inconnu,inconnu,inconnu,inconnu,inconnu,Schistosomiase urogénitale
L’hématurie (sang dans les urines),inconnu,inconnu,inconnu,inconnu,inconnu,inconnu,inconnu,inconnu,inconnu,inconnu,inconnu,inconnu,inconnu,Schistosomiase urogénitale
L’hématurie (sang dans les urines),inconnu,inconnu,inconnu,inconnu,inconnu,inconnu,inconnu,inconnu,inconnu,inconnu,inconnu,inconnu,inconnu,Schistosomiase urogénitale
L’hématurie (sang dans les urines),inconnu,inconnu,inconnu,inconnu,inconnu,inconnu,inconnu,inconnu,inconnu,inconnu,inconnu,inconnu,inconnu,Schistosomiase urogénitale
L’hématurie (sang dans les urines),inconnu,inconnu,inconnu,inconnu,inconnu,inconnu,inconnu,inconnu,inconnu,inconnu,inconnu,inconnu,inconnu,Schistosomiase urogénitale
L’hématurie (sang dans les urines),inconnu,inconnu,inconnu,inconnu,inconnu,inconnu,inconnu,inconnu,inconnu,inconnu,inconnu,inconnu,inconnu,Schistosomiase urogénitale
L’hématurie (sang dans les urines),inconnu,inconnu,inconnu,inconnu,inconnu,inconnu,inconnu,inconnu,inconnu,inconnu,inconnu,inconnu,inconnu,Schistosomiase urogénitale
L’hématurie (sang dans les urines),inconnu,inconnu,inconnu,inconnu,inconnu,inconnu,inconnu,inconnu,inconnu,inconnu,inconnu,inconnu,inconnu,Schistosomiase urogénitale
fièvre,mal de tête,démangeaisons,douleurs musculaires,gonflement du visage,ganglions lymphatiques enflés,perte de poids,inconnu,inconnu,inconnu,inconnu,inconnu,inconnu,inconnu,Trypanosoma brucei gambiense
fièvre,mal de tête,démangeaisons,douleurs musculaires,gonflement du visage,ganglions lymphatiques enflés,perte de poids,inconnu,inconnu,inconnu,inconnu,inconnu,inconnu,inconnu,Trypanosoma brucei gambiense
fièvre,mal de tête,démangeaisons,douleurs musculaires,gonflement du visage,ganglions lymphatiques enflés,perte de poids,inconnu,inconnu,inconnu,inconnu,inconnu,inconnu,inconnu,Trypanosoma brucei gambiense
fièvre,mal de tête,démangeaisons,douleurs musculaires,gonflement du visage,ganglions lymphatiques enflés,perte de poids,inconnu,inconnu,inconnu,inconnu,inconnu,inconnu,inconnu,Trypanosoma brucei gambiense
fièvre,mal de tête,démangeaisons,douleurs musculaires,gonflement du visage,ganglions lymphatiques enflés,perte de poids,inconnu,inconnu,inconnu,inconnu,inconnu,inconnu,inconnu,Trypanosoma brucei gambiense
fièvre,mal de tête,démangeaisons,douleurs musculaires,gonflement du visage,ganglions lymphatiques enflés,perte de poids,inconnu,inconnu,inconnu,inconnu,inconnu,inconnu,inconnu,Trypanosoma brucei gambiense
fièvre,mal de tête,démangeaisons,douleurs musculaires,gonflement du visage,ganglions lymphatiques enflés,perte de poids,inconnu,inconnu,inconnu,inconnu,inconnu,inconnu,inconnu,Trypanosoma brucei gambiense
fièvre,mal de tête,démangeaisons,douleurs musculaires,gonflement du visage,ganglions lymphatiques enflés,perte de poids,inconnu,inconnu,inconnu,inconnu,inconnu,inconnu,inconnu,Trypanosoma brucei gambiense
fièvre,mal de tête,démangeaisons,douleurs musculaires,gonflement du visage,ganglions lymphatiques enflés,perte de poids,inconnu,inconnu,inconnu,inconnu,inconnu,inconnu,inconnu,Trypanosoma brucei gambiense
fièvre,mal de tête,démangeaisons,douleurs musculaires,gonflement du visage,ganglions lymphatiques enflés,perte de poids,inconnu,inconnu,inconnu,inconnu,inconnu,inconnu,inconnu,Trypanosoma brucei gambiense
fièvre,mal de tête,démangeaisons,douleurs musculaires,gonflement du visage,ganglions lymphatiques enflés,perte de poids,inconnu,inconnu,inconnu,inconnu,inconnu,inconnu,inconnu,Trypanosoma brucei gambiense
fièvre,mal de tête,démangeaisons,douleurs musculaires,gonflement du visage,ganglions lymphatiques enflés,perte de poids,inconnu,inconnu,inconnu,inconnu,inconnu,inconnu,inconnu,Trypanosoma brucei gambiense
fièvre,mal de tête,démangeaisons,douleurs musculaires,gonflement du visage,ganglions lymphatiques enflés,perte de poids,inconnu,inconnu,inconnu,inconnu,inconnu,inconnu,inconnu,Trypanosoma brucei gambiense
fièvre,mal de tête,démangeaisons,douleurs musculaires,gonflement du visage,ganglions lymphatiques enflés,perte de poids,inconnu,inconnu,inconnu,inconnu,inconnu,inconnu,inconnu,Trypanosoma brucei gambiense
fièvre,mal de tête,démangeaisons,douleurs musculaires,gonflement du visage,ganglions lymphatiques enflés,perte de poids,inconnu,inconnu,inconnu,inconnu,inconnu,inconnu,inconnu,Trypanosoma brucei gambiense
fièvre,mal de tête,démangeaisons,douleurs musculaires,gonflement du visage,ganglions lymphatiques enflés,perte de poids,inconnu,inconnu,inconnu,inconnu,inconnu,inconnu,inconnu,Trypanosoma brucei gambiense
fièvre,mal de tête,démangeaisons,douleurs musculaires,gonflement du visage,ganglions lymphatiques enflés,perte de poids,inconnu,inconnu,inconnu,inconnu,inconnu,inconnu,inconnu,Trypanosoma brucei gambiense
fièvre,mal de tête,démangeaisons,douleurs musculaires,gonflement du visage,ganglions lymphatiques enflés,perte de poids,inconnu,inconnu,inconnu,inconnu,inconnu,inconnu,inconnu,Trypanosoma brucei gambiense
fièvre,mal de tête,démangeaisons,douleurs musculaires,gonflement du visage,ganglions lymphatiques enflés,perte de poids,inconnu,inconnu,inconnu,inconnu,inconnu,inconnu,inconnu,Trypanosoma brucei gambiense
fièvre,mal de tête,démangeaisons,douleurs musculaires,gonflement du visage,ganglions lymphatiques enflés,perte de poids,inconnu,inconnu,inconnu,inconnu,inconnu,inconnu,inconnu,Trypanosoma brucei gambiense
fièvre,mal de tête,démangeaisons,douleurs musculaires,gonflement du visage,ganglions lymphatiques enflés,perte de poids,inconnu,inconnu,inconnu,inconnu,inconnu,inconnu,inconnu,Trypanosoma brucei gambiense
fièvre,mal de tête,démangeaisons,douleurs musculaires,gonflement du visage,ganglions lymphatiques enflés,perte de poids,inconnu,inconnu,inconnu,inconnu,inconnu,inconnu,inconnu,Trypanosoma brucei gambiense
fièvre,mal de tête,démangeaisons,douleurs musculaires,gonflement du visage,ganglions lymphatiques enflés,perte de poids,inconnu,inconnu,inconnu,inconnu,inconnu,inconnu,inconnu,Trypanosoma brucei gambiense
fièvre,mal de tête,démangeaisons,douleurs musculaires,gonflement du visage,ganglions lymphatiques enflés,perte de poids,inconnu,inconnu,inconnu,inconnu,inconnu,inconnu,inconnu,Trypanosoma brucei gambiense
fièvre,mal de tête,démangeaisons,douleurs musculaires,gonflement du visage,ganglions lymphatiques enflés,perte de poids,inconnu,inconnu,inconnu,inconnu,inconnu,inconnu,inconnu,Trypanosoma brucei gambiense
fièvre,mal de tête,démangeaisons,douleurs musculaires,gonflement du visage,ganglions lymphatiques enflés,perte de poids,inconnu,inconnu,inconnu,inconnu,inconnu,inconnu,inconnu,Trypanosoma brucei gambiense
fièvre,mal de tête,démangeaisons,douleurs musculaires,gonflement du visage,ganglions lymphatiques enflés,perte de poids,inconnu,inconnu,inconnu,inconnu,inconnu,inconnu,inconnu,Trypanosoma brucei gambiense
fièvre,mal de tête,démangeaisons,douleurs musculaires,gonflement du visage,ganglions lymphatiques enflés,perte de poids,inconnu,inconnu,inconnu,inconnu,inconnu,inconnu,inconnu,Trypanosoma brucei gambiense
fièvre,mal de tête,démangeaisons,douleurs musculaires,gonflement du visage,ganglions lymphatiques enflés,perte de poids,inconnu,inconnu,inconnu,inconnu,inconnu,inconnu,inconnu,Trypanosoma brucei gambiense
fièvre,mal de tête,démangeaisons,douleurs musculaires,gonflement du visage,ganglions lymphatiques enflés,perte de poids,inconnu,inconnu,inconnu,inconnu,inconnu,inconnu,inconnu,Trypanosoma brucei gambiense
fièvre,mal de tête,démangeaisons,douleurs musculaires,gonflement du visage,ganglions lymphatiques enflés,perte de poids,inconnu,inconnu,inconnu,inconnu,inconnu,inconnu,inconnu,Trypanosoma brucei gambiense
fièvre,mal de tête,démangeaisons,douleurs musculaires,gonflement du visage,ganglions lymphatiques enflés,perte de poids,inconnu,inconnu,inconnu,inconnu,inconnu,inconnu,inconnu,Trypanosoma brucei gambiense
fièvre,mal de tête,démangeaisons,douleurs musculaires,gonflement du visage,ganglions lymphatiques enflés,perte de poids,inconnu,inconnu,inconnu,inconnu,inconnu,inconnu,inconnu,Trypanosoma brucei gambiense
fièvre,mal de tête,démangeaisons,douleurs musculaires,gonflement du visage,ganglions lymphatiques enflés,perte de poids,inconnu,inconnu,inconnu,inconnu,inconnu,inconnu,inconnu,Trypanosoma brucei gambiense
fièvre,mal de tête,démangeaisons,douleurs musculaires,gonflement du visage,ganglions lymphatiques enflés,perte de poids,inconnu,inconnu,inconnu,inconnu,inconnu,inconnu,inconnu,Trypanosoma brucei gambiense
fièvre,mal de tête,démangeaisons,douleurs musculaires,gonflement du visage,ganglions lymphatiques enflés,perte de poids,inconnu,inconnu,inconnu,inconnu,inconnu,inconnu,inconnu,Trypanosoma brucei gambiense
fièvre,mal de tête,démangeaisons,douleurs musculaires,gonflement du visage,ganglions lymphatiques enflés,perte de poids,inconnu,inconnu,inconnu,inconnu,inconnu,inconnu,inconnu,Trypanosoma brucei gambiense
fièvre,mal de tête,démangeaisons,douleurs musculaires,gonflement du visage,ganglions lymphatiques enflés,perte de poids,inconnu,inconnu,inconnu,inconnu,inconnu,inconnu,inconnu,Trypanosoma brucei gambiense
fièvre,mal de tête,démangeaisons,douleurs musculaires,gonflement du visage,ganglions lymphatiques enflés,perte de poids,inconnu,inconnu,inconnu,inconnu,inconnu,inconnu,inconnu,Trypanosoma brucei gambiense
fièvre,mal de tête,démangeaisons,douleurs musculaires,gonflement du visage,ganglions lymphatiques enflés,perte de poids,inconnu,inconnu,inconnu,inconnu,inconnu,inconnu,inconnu,Trypanosoma brucei gambiense
fièvre,mal de tête,démangeaisons,douleurs musculaires,gonflement du visage,ganglions lymphatiques enflés,perte de poids,inconnu,inconnu,inconnu,inconnu,inconnu,inconnu,inconnu,Trypanosoma brucei gambiense
fièvre,mal de tête,démangeaisons,douleurs musculaires,gonflement du visage,ganglions lymphatiques enflés,perte de poids,inconnu,inconnu,inconnu,inconnu,inconnu,inconnu,inconnu,Trypanosoma brucei gambiense
fièvre,mal de tête,démangeaisons,douleurs musculaires,gonflement du visage,ganglions lymphatiques enflés,perte de poids,inconnu,inconnu,inconnu,inconnu,inconnu,inconnu,inconnu,Trypanosoma brucei gambiense
fièvre,mal de tête,démangeaisons,douleurs musculaires,gonflement du visage,ganglions lymphatiques enflés,perte de poids,inconnu,inconnu,inconnu,inconnu,inconnu,inconnu,inconnu,Trypanosoma brucei gambiense
